IDNO,State,Class,Name,Population,Lat,Long
484,Ruppacke,village,Cauwaih,,,
485,Ruppacke,village,Robinsvale,,,
486,Ruppacke,hamlet,Cliffonier Cross,,,
487,Ruppacke,village,Cohen City,,,
488,Ruppacke,town,Roosville,,,
489,Ruppacke,village,Ennis,,,
490,Ruppacke,village,Whiteadder,,,
491,Ruppacke,town,Friartown,,,
492,Ruppacke,village,Poolswich,,,
493,Ruppacke,village,Dulcie,,,
494,Ruppacke,village,Casimere,,,
495,Ruppacke,village,Saint Halle,,,
496,Ruppacke,town,Ruppstadt,,,
497,Ruppacke,village,Lenseter,,,
498,Ruppacke,town,Mawville,,,
499,Ruppacke,town,Quespen,,,
500,Ruppacke,city,Welhamtown,,,
501,Ruppacke,village,Pretton,,,
502,Ruppacke,town,Anneshire,,,
503,Ruppacke,town,Darnelle City,,,
504,Ruppacke,town,Falchester,,,
505,Ruppacke,village,Houltina,,,
506,Ruppacke,village,Newhittie,,,
507,Ruppacke,town,Meades,,,
508,Ruppacke,town,Cadence,,,
509,Ruppacke,village,Leyland Beach,,,
510,Ruppacke,city,Batelyn,,,
511,Ruppacke,town,Kennerville,,,
512,Ruppacke,village,Overknoll,,,
513,Ruppacke,town,Bundy,,,
514,Ruppacke,village,Musket,,,
515,Ruppacke,hamlet,State Line,,,
516,Ruppacke,hamlet,Sageminster,,,
517,Ruppacke,village,Shrewster,,,
518,Ruppacke,town,Suestal,,,
519,Ruppacke,town,Ruidhall,,,
520,Ruppacke,hamlet,Granule,,,
521,Ruppacke,city,Franzhafen,,,
522,Ruppacke,village,Romford,,,
523,Ruppacke,village,Caddy Bottom,,,
524,Ruppacke,village,Luciusville,,,
525,Ruppacke,city,Fallsbury,250000,,
526,Ruppacke,town,Portulia Beach,,,
527,Ruppacke,city,Hammond,,,
528,Ardelia,town,Bostonoia,,,
529,Ardelia,town,Mulwala,,,
530,Ardelia,town,Wingacaribee,,,
531,Ardelia,town,Valerma,,,
532,Ardelia,town,Freetlancer,,,
533,Ardelia,town,Oden,,,
534,Ardelia,town,Carathool,,,
535,Ardelia,town,Brahmer Point,,,
536,Ardelia,town,Redcliffe,,,
537,Ardelia,town,Lara,,,
538,Ardelia,town,Craydon,,,
539,Ardelia,city,Ferian,600000,,
540,Ardelia,city,Mildred,700000,,
541,Ardelia,town,Bentrell,,,
542,Ardelia,city,Bluedale,,,
543,Ardelia,village,New Oak,,,
544,Ardelia,town,Halvert,,,
545,Ardelia,village,Oleron,,,
546,Ardelia,town,Besson,,,
547,Ardelia,town,Wamaree,,,
548,Ardelia,village,Rathdale,,,
549,Ardelia,town,Pinedale,41300,,
550,Ardelia,town,Bleneth,380000,,
551,Ardelia,city,Pressley,180000,,
552,Ardelia,town,Chalta,58000,,
553,Ardelia,town,Starling,750000,,
554,Ardelia,city,Kerr,400000,,
555,Ardelia,city,Anna's Crossing,250000,,
556,Ardelia,city,Hernoth,247000,,
557,Ardelia,city,Ardelia City,445000,,
558,Ardelia,town,Mirandaville,68000,,
559,Ardelia,town,Brintonville,535000,,
560,Ardelia,city,Saint Avery,1000000,,
561,Ardelia,town,Pleasance,,,
562,Ardelia,town,Porphyria,,,
563,Ardelia,city,Emora,,,
564,Ardelia,town,Grier,,,
565,Ardelia,town,Hope,15404,,
566,Ardelia,town,West Kerr,,,
567,Ardelia,town,Trestledale,6518,,
568,Penquisset,city,Warwick,2999162,,
569,Penquisset,city,Sawtelle,,,
570,Penquisset,town,Drowcuit,,,
571,Penquisset,town,Stieghohl,,,
572,Penquisset,town,Katzenburg,,,
573,Penquisset,town,Ruhighohl,,,
574,Penquisset,town,Triphammer,,,
575,Penquisset,town,Frostburgh,,,
576,Penquisset,town,Rindham,,,
577,Penquisset,town,North Warwick,,,
578,Penquisset,town,Castledarl,,,
579,Penquisset,town,Berlint,,,
580,Penquisset,town,Archwick,,,
581,Penquisset,town,Trastarden,,,
582,Penquisset,town,Lykoshohl,,,
583,Penquisset,town,Vernbold,,,
584,Penquisset,town,Walhafen,,,
585,Penquisset,town,Woodhaven,,,
586,Penquisset,town,Graftick,,,
587,Penquisset,town,Marshfield,,,
588,Penquisset,town,Luddam,,,
589,Penquisset,town,Compass,,,
590,Penquisset,city,Duxbury,85636,,
591,Penquisset,village,Overpeak,,,
592,Penquisset,city,Swampscott,,,
593,Penquisset,town,Bedfordville,,,
594,Penquisset,village,Duke's Crossing,,,
595,Penquisset,village,Revere Heights,,,
596,Penquisset,village,Veswood Gardens,,,
597,Penquisset,village,Mentuchen Corner,,,
598,Penquisset,village,Assabet Heights,,,
599,Penquisset,town,Hemberst,,,
600,Penquisset,town,Flumebury,,,
601,Penquisset,town,Pesh Pash Falls,,,
602,Penquisset,city,Beacon,,,
603,Penquisset,town,Byfield,,,
604,Penquisset,city,Newburyport,377046,,
605,Penquisset,village,Veswood,,,
606,Penquisset,village,Slow Loop,,,
607,Penquisset,town,Winden,,,
608,Penquisset,town,Chelmstark,,,
609,Penquisset,town,Babel,,,
610,Penquisset,town,Quayhaven,,,
611,Penquisset,town,Fetterstow,,,
612,Penquisset,town,South Warwick,,,
613,Penquisset,town,Chilthark,,,
614,Penquisset,town,Wompatisink,,,
615,Penquisset,town,Redbrass,,,
616,Penquisset,town,Malvenstaw,,,
617,Penquisset,town,Havelburg,,,
618,Penquisset,town,Petrichor,,,
619,Penquisset,town,Pelwick,,,
620,Penquisset,town,Waldenwood,,,
621,Penquisset,town,Enwhist,,,
622,Penquisset,town,Ambeth,,,
623,Penquisset,city,City of Warwick,,,
624,Penquisset,town,Town of Swampscott,,,
625,Penquisset,city,City of South Warwick,,,
626,Penquisset,town,Town of Trastarden,,,
627,Penquisset,town,Town of Fetterstow,,,
628,Penquisset,city,City of North Warwick,,,
629,Penquisset,city,City of Beacon,,,
630,Penquisset,city,City of Rindham,,,
631,Penquisset,city,Town of Castledarl,,,
632,Penquisset,city,Town of Vernbold,,,
633,Penquisset,city,Town of Ambeth,,,
634,Penquisset,city,Town of Marshfield,,,
635,Penquisset,town,Town of Byfield,,,
636,Penquisset,town,Town of Lykoshohl,,,
637,Penquisset,town,Town of Archwick,,,
638,Penquisset,town,City of Duxbury,,,
639,Penquisset,town,Town of Berlint,,,
640,Penquisset,town,Town of Quayhaven,,,
641,Penquisset,town,Town of Walhafen,,,
642,Penquisset,town,Town of Wompatisink,,,
643,Penquisset,city,City of Woodhaven,,,
644,Penquisset,town,Town of Frostburgh,,,
645,Penquisset,town,Town of Waldenwood,,,
646,Penquisset,town,City of Sawtelle,,,
647,Penquisset,town,City of Drowcuit,,,
648,Penquisset,city,City of Newburyport,,,
649,Penquisset,town,Town of Havelburg,,,
650,Penquisset,town,Town of Graftick,,,
651,Penquisset,town,Town of Redbrass,,,
652,Penquisset,town,Town of Katzenburg,,,
653,Penquisset,town,Town of Malvenstaw,,,
654,Penquisset,town,Town of Compass,,,
655,Penquisset,town,Town of Ruhighohl,,,
656,Penquisset,town,City of Pelwick,,,
657,Penquisset,town,Town of Enwhist,,,
658,Penquisset,town,Town of Luddam,,,
659,Penquisset,town,Town of Triphammer,,,
660,Penquisset,town,Town of Petrichor,,,
661,Penquisset,city,Town of Babel,,,
662,Penquisset,town,Town of Stieghohl,,,
663,Penquisset,town,Town of Chilthark,,,
664,Penquisset,town,Town of Hemberst,,,
665,Penquisset,town,Town of Flumebury,,,
666,Penquisset,town,Town of Pesh Pash Falls,,,
667,Penquisset,town,Town of Winden,,,
668,Penquisset,town,Town of Chelmstark,,,
669,New Carnaby,city,Partstone,,,
670,New Carnaby,city,Wynntethla,,,
671,New Carnaby,town,Wynntethla Beach,,,
672,New Carnaby,city,Stanton,8501861,,
673,New Carnaby,city,Sadikady,,,
674,New Carnaby,town,Dredford,,,
675,New Carnaby,town,Pretanic Rock,,,
676,New Carnaby,town,King-of-Pretania,,,
677,New Carnaby,town,Colsex City,,,
678,New Carnaby,town,Hogshead,,,
679,New Carnaby,town,Harriston,,,
680,New Carnaby,town,Colsex Fell,,,
681,New Carnaby,town,Florence Mills,,,
682,New Carnaby,town,Mount Tabitha,,,
683,New Carnaby,town,Burr Express,,,
684,New Carnaby,town,Darling,,,
685,New Carnaby,town,Westchase,,,
686,New Carnaby,town,Haddon Bend,,,
687,New Carnaby,town,Moreton,,,
688,New Carnaby,town,East Chase,,,
689,New Carnaby,town,Scorched Plains,,,
690,New Carnaby,town,Currey's Ferry,,,
691,New Carnaby,town,South Kerringly,,,
692,New Carnaby,town,West Ballsborough,,,
693,New Carnaby,town,Haltom,,,
694,New Carnaby,city,Doorham,,,
695,New Carnaby,town,Colton,,,
